x,y
1.7944,0.337811
2.17713,0.28969
2.55985,0.24157
2.94258,0.193449
3.3253,0.145329
3.70803,0.097208
4.09076,0.0490875
4.33315,0.0442253
4.77238,0.0497396
5.21162,0.0552539
5.8477,0.0711447
6.28694,0.076659
6.72618,0.0821733
7.20285,0.0501358
7.38938,0.00198735
7.86605,-0.0300501
8.34273,-0.0620875
8.52926,-0.110236
9.00593,-0.142273
9.52997,-0.113741
9.76385,-0.101319
10.2879,-0.0727866
10.5218,-0.060365
10.7557,-0.0479435
11.2143,0.0265106
11.9517,0.316644
12.4644,0.544744
12.9771,0.772845
13.4898,1.00095
13.7778,1.16701
14.0657,1.33308
14.2659,1.45354
14.6945,1.80006
15.1231,2.14658
15.3233,2.26704
15.7519,2.61356
16.1805,2.96008
16.2813,3.16805
16.6105,3.60209
16.9397,4.03612
17.0404,4.2441
17.1412,4.45208
17.2419,4.66005
17.2957,4.91362
17.3494,5.16718
17.4225,5.58975
17.4955,6.01231
17.588,6.60389
17.6611,7.02646
17.6559,7.44307
17.6313,7.69068
17.6067,7.93829
17.5372,8.37298
17.4677,8.80767
17.3982,9.24236
17.2468,9.82352
17.1402,10.2176
17.0785,10.4246
17.0168,10.6316
16.9551,10.8386
16.8934,11.0456
16.5808,11.4068
16.2681,11.768
15.9554,12.1292
15.6427,12.4904
15.33,12.8516
15.0173,13.2128
14.6842,13.5474
14.351,13.8819
14.0179,14.2165
13.6848,14.551
13.3517,14.8856
13.0185,15.2201
12.8816,15.3548
12.587,15.6509
12.2923,15.947
11.9977,16.2432
11.703,16.5393
11.4084,16.8354
11.1138,17.193
10.9771,17.3891
10.8403,17.5852
10.7035,17.7813
10.5667,17.9774
10.2281,18.247
9.84206,18.4599
9.45602,18.6729
9.06998,18.8859
8.68394,19.0989
8.2979,19.3118
8.11367,19.4513
7.87956,19.4763
7.64546,19.5012
7.41135,19.5261
7.17725,19.5511
6.94314,19.576
6.49397,19.5673
6.07912,19.4592
5.66427,19.3511
5.24942,19.243
4.83456,19.1349
4.41971,19.0269
4.21992,18.9524
4.07587,18.8457
3.93183,18.739
3.78779,18.6323
3.64375,18.5256
3.4997,18.4189
3.35566,18.3122
3.25934,18.1668
3.02438,17.8796
2.92806,17.7342
2.69311,17.447
2.45816,17.1598
2.2232,16.8725
1.95686,16.5474
1.69051,16.2222
1.42691,15.8871
1.1633,15.5519
0.899697,15.2168
0.636093,14.8817
0.356921,14.6111
-0.101268,14.1995
-0.423574,13.9397
-0.74588,13.6799
-1.06819,13.42
-1.39049,13.1602
-2.25358,12.6806
-2.61208,12.4783
-2.97058,12.2759
-3.32907,12.0736
-3.52479,11.9393
-3.7205,11.8051
-3.94741,11.5608
-4.17431,11.3166
-4.40122,11.0723
-4.62812,10.828
-4.85503,10.5838
-5.13136,9.8242
-5.15282,9.65106
-5.17427,9.47793
-5.24515,8.78946
-5.2666,8.61633
-5.28806,8.44319
-5.35894,7.75473
-5.34092,7.5639
-5.3229,7.37308
-5.35431,6.66692
-5.33628,6.47609
-5.36769,5.76994
-5.34967,5.57911
-5.3286,5.40165
-5.35696,4.70886
-5.33588,4.5314
-5.31481,4.35394
-5.29373,4.17648
-5.27266,3.99902
-5.13693,3.82082
-5.00119,3.64263
-4.86546,3.46444
-4.72972,3.28625
-4.59399,3.10806
-4.45825,2.92986
-4.29257,2.75779
-4.12689,2.58571
-3.81194,2.32998
-3.49699,2.07425
-3.03277,1.73485
-2.71782,1.47912
-2.32949,1.30021
-2.09044,1.20497
-1.85138,1.10972
-1.61232,1.01448
-1.37327,0.919231
0.52589,0.209929
1.7944,0.337811
