x,y
4.25101,-0.130965
4.80043,-0.130353
5.34985,-0.129741
5.89926,-0.129128
6.44868,-0.128516
6.9981,-0.127904
7.54752,-0.127292
7.82781,-0.123911
8.10809,-0.120531
8.38838,-0.11715
8.66867,-0.113769
9.2189,0.0414024
9.76913,0.196574
10.3057,0.40203
10.5724,0.455694
11.109,0.66115
11.6456,0.866606
12.1822,1.07206
12.4489,1.12573
12.5896,1.35417
12.7303,1.58262
12.8709,1.81106
13.0116,2.03951
13.1523,2.26795
13.293,2.4964
13.3901,2.76788
13.5371,3.27582
13.684,3.78375
13.831,4.29168
13.9779,4.79961
14.1249,5.30754
14.1398,5.80275
14.1049,6.06151
14.0699,6.32027
14.035,6.57903
14,6.83779
13.8987,7.33275
13.6743,7.84696
13.4499,8.36116
13.2255,8.87536
12.9347,9.62577
12.7767,9.90377
12.6188,10.1818
12.4052,10.4526
11.8929,11.1479
11.53,11.6309
11.1671,12.1139
10.6549,12.8092
10.4413,13.08
10.1857,13.2549
9.93005,13.4298
9.67444,13.6048
9.14881,13.8955
8.62318,14.1862
8.09755,14.4769
7.5979,14.6612
7.09825,14.8455
6.5986,15.0298
6.36898,15.0984
6.13935,15.1669
5.90973,15.2354
5.3886,15.2513
4.86747,15.2672
4.34634,15.2831
3.82521,15.299
3.5692,15.2907
3.04807,15.3066
2.58523,15.2982
2.3875,15.2656
1.93312,15.2236
1.47874,15.1816
1.28101,15.149
0.82663,15.107
0.337831,15.0737
-0.150969,15.0403
-0.639768,15.007
-0.871917,14.983
-1.10407,14.9589
-1.60477,14.8817
-2.14587,14.836
-2.68696,14.7903
-3.22806,14.7446
-3.76916,14.6989
-4.31025,14.6533
-4.58279,14.6608
-4.77887,14.5406
-4.97494,14.4203
-5.17102,14.3001
-5.36709,14.1798
-5.73684,13.8988
-6.10658,13.6178
-6.45676,13.268
-6.80694,12.9182
-7.15713,12.5684
-7.50731,12.2186
-7.68382,12.0296
-7.86034,11.8406
-7.97116,11.5314
-8.15177,11.0286
-8.33238,10.5259
-8.58276,9.82955
-8.83314,9.13322
-8.94397,8.82404
-8.9444,8.54916
-8.96793,8.0087
-8.99146,7.46823
-9.01499,6.92777
-9.03852,6.3873
-9.06205,5.84683
-9.06873,5.21797
-9.05231,4.85469
-9.03589,4.49141
-9.01947,4.12813
-8.87384,3.50193
-8.72822,2.87574
-8.50992,2.37137
-8.29163,1.867
-8.07333,1.36264
-7.85503,0.85827
-7.76594,0.616819
-7.67684,0.375368
-7.4142,0.290533
-7.15156,0.205699
-6.88892,0.120864
-6.62628,0.0360293
-6.36364,-0.0488054
-6.101,-0.13364
-5.43241,-0.264318
-4.96306,-0.329392
-4.49371,-0.394466
-4.02436,-0.45954
-3.55501,-0.524614
-3.2849,-0.524085
-2.97027,-0.510991
-2.65564,-0.497896
-2.34101,-0.484802
-2.02638,-0.471708
0.184653,-0.156356
0.499283,-0.143261
4.25101,-0.130965
